cohort,gi_desc_bin_1,so_desc_bin_1,sss,sss_desc,sss_desc_bin,fsc,fsc_desc,fsc_desc_bin,fg_surv,id,card_id,arb_id,uo_email_address,campus_email
NA,NA,Straight or Heterosexual,7,7th Rung,Middle,3,Middle Class,Upper,Continuing-Generation,12452,12452,12652,12452@coolcats.edu,12452@coolcats.edu
2223,NA,NA,6,6th Rung,Middle,3,Middle Class,Upper,Continuing-Generation,16913,16913,17113,16913@coolcats.edu,16913@coolcats.edu
NA,NA,Straight or Heterosexual,7,7th Rung,Middle,3,Middle Class,Upper,Continuing-Generation,13801,13801,14001,13801@coolcats.edu,13801@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9133,9133,9333,9133@coolcats.edu,9133@coolcats.edu
NA,NA,Straight or Heterosexual,4,4th Rung,Lower,NA,NA,Upper,Continuing-Generation,6304,6304,6504,6304@coolcats.edu,6304@coolcats.edu
NA,NA,Straight or Heterosexual,4,4th Rung,Lower,NA,NA,Upper,Continuing-Generation,4896,4896,5096,4896@coolcats.edu,4896@coolcats.edu
1819,Woman,LGBQ+,NA,NA,NA,2,Lower-Middle Class,NA,First-Generation,38829,38829,39029,38829@coolcats.edu,38829@coolcats.edu
2223,NA,NA,NA,NA,NA,NA,NA,Middle,NA,16957,16957,17157,16957@coolcats.edu,16957@coolcats.edu
1819,Woman,NA,7,7th Rung,Middle,3,Middle Class,NA,Continuing-Generation,28012,28012,28212,28012@coolcats.edu,28012@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,3642,3642,3842,3642@coolcats.edu,3642@coolcats.edu
1920,Woman,NA,6,6th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,22659,22659,22859,22659@coolcats.edu,22659@coolcats.edu
2122,NA,NA,NA,NA,NA,NA,NA,Middle,NA,17799,17799,17999,17799@coolcats.edu,17799@coolcats.edu
2122,NA,NA,5,5th Rung,Middle,5,Upper Class,Upper,Continuing-Generation,17935,17935,18135,17935@coolcats.edu,17935@coolcats.edu
1920,Nonbinary,NA,6,6th Rung,Middle,3,Middle Class,NA,Continuing-Generation,21780,21780,21980,21780@coolcats.edu,21780@coolcats.edu
1920,NA,NA,10,Top Rung,Upper,NA,NA,Middle,NA,20406,20406,20606,20406@coolcats.edu,20406@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,4,Upper-Middle Class,NA,First-Generation,12440,12440,12640,12440@coolcats.edu,12440@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,10675,10675,10875,10675@coolcats.edu,10675@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,11019,11019,11219,11019@coolcats.edu,11019@coolcats.edu
NA,NA,Straight or Heterosexual,7,7th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,13670,13670,13870,13670@coolcats.edu,13670@coolcats.edu
NA,NA,Straight or Heterosexual,3,3rd Rung,Lower,3,Middle Class,Upper,Continuing-Generation,12118,12118,12318,12118@coolcats.edu,12118@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,10847,10847,11047,10847@coolcats.edu,10847@coolcats.edu
2021,NA,NA,6,6th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,19223,19223,19423,19223@coolcats.edu,19223@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,11897,11897,12097,11897@coolcats.edu,11897@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9675,9675,9875,9675@coolcats.edu,9675@coolcats.edu
1920,NA,NA,5,5th Rung,Middle,3,Middle Class,NA,Continuing-Generation,21520,21520,21720,21520@coolcats.edu,21520@coolcats.edu
2122,NA,NA,NA,NA,NA,NA,NA,Middle,NA,18319,18319,18519,18319@coolcats.edu,18319@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5232,5232,5432,5232@coolcats.edu,5232@coolcats.edu
NA,NA,Straight or Heterosexual,4,4th Rung,Lower,4,Upper-Middle Class,Upper,Continuing-Generation,11439,11439,11639,11439@coolcats.edu,11439@coolcats.edu
2223,NA,NA,NA,NA,NA,NA,NA,Middle,NA,16878,16878,17078,16878@coolcats.edu,16878@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4807,4807,5007,4807@coolcats.edu,4807@coolcats.edu
2122,NA,NA,NA,NA,NA,2,Lower-Middle Class,NA,First-Generation,18423,18423,18623,18423@coolcats.edu,18423@coolcats.edu
